Author,Closeness,Betweenness,Centrality
daiyip,0.8181818181818182,0.6363636363636364,0.8181818181818182
t-schn,0.43315508021390375,0.0,0.09090909090909091
mekaneeky,0.43315508021390375,0.0,0.09090909090909091
kwmaeng91,0.46022727272727276,0.0,0.18181818181818182
debadeepta,0.43315508021390375,0.0,0.09090909090909091
sscardapane,0.43315508021390375,0.0,0.09090909090909091
xingyousong,0.46022727272727276,0.0,0.18181818181818182
lxiongh,0.43315508021390375,0.0,0.09090909090909091
jvican,0.43315508021390375,0.0,0.09090909090909091
D-X-Y,0.43315508021390375,0.0,0.09090909090909091
gelatinouscube42,0.0,0.0,0.0
bomtorazek,0.0,0.0,0.0
