Author,Closeness,Betweenness,Centrality
codecov-commenter,0.3980263157894737,0.08333333333333333,0.1875
rchen152,0.2607758620689655,0.0,0.0625
daiyip,0.6302083333333333,0.425,0.625
D-X-Y,0.37812500000000004,0.0,0.125
mekaneeky,0.34375,0.0,0.0625
sscardapane,0.34375,0.0,0.0625
t-schn,0.34375,0.0,0.0625
kwmaeng91,0.3601190476190476,0.0,0.125
debadeepta,0.34375,0.0,0.0625
xingyousong,0.3601190476190476,0.0,0.125
lxiongh,0.34375,0.0,0.0625
jvican,0.34375,0.0,0.0625
jinsongmu,0.0,0.0,0.0
eltociear,0.0,0.0,0.0
tomvdw,0.0,0.0,0.0
gelatinouscube42,0.0,0.0,0.0
bomtorazek,0.0,0.0,0.0
